901,talk_j,3,jeong     ,1218,3.3333302E-2,24,19,1,1,1,0,NULL
902,talk_n,1,jeong     ,1218,3.3333302E-2,24,19,1,1,1,0,NULL
910,c6_byebye_t01_sh,1,jeong     ,251,3.3333302E-2,24,19,1,1,1,0,NULL
911,c6_ball_t02_sh,1,jeong     ,231,3.3333302E-2,24,19,1,1,1,0,NULL
912,c6_falls_t02_sh,1,jeong     ,134,3.3333302E-2,24,19,1,1,1,0,NULL
913,c6_free_t02_sh,1,jeong     ,587,3.3333302E-2,24,19,1,1,1,0,NULL
914,c6_mamawalk_t01_sh2,1,jeong     ,85,3.3333302E-2,24,19,1,1,1,0,NULL
915,c6_mamawalk_t01_n,1,jeong     ,85,3.3333302E-2,24,19,1,1,1,0,NULL
916,c6_n_r01_sh2,1,jeong     ,224,3.3333302E-2,24,19,1,1,1,0,NULL
917,c6_run_t01_sh,1,jeong     ,19,3.3333302E-2,24,19,1,1,1,0,NULL
918,c6_see_t01_sh,1,jeong     ,377,3.3333302E-2,24,19,1,1,1,0,NULL
919,c6_stoop_t02_sh,1,jeong     ,421,3.3333302E-2,24,19,1,1,1,0,NULL
920,c6_stopgo_r01_sh2,1,jeong     ,265,3.3333302E-2,24,19,1,1,1,0,NULL
921,c6_walk_t02_sh,1,jeong     ,57,3.3333302E-2,24,19,1,1,1,0,NULL
922,c7_sitdown_t01_yu,1,jeong     ,514,0.033333,24,19,1,1,1,0,NULL
923,c7_skip_t01_yu,1,jeong     ,66,0.033333,24,19,1,1,1,0,NULL
