milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics
16208625,0.0442418,-0.636826,-0.596374,104.349,154273,87.196,317.801,0,1,0,
16208664,0.0463659,-0.631927,-0.598248,0,514.047,0,2,0,1,0,
16208703,0.0484431,-0.62711,-0.599975,0,503.089,0,2,0,1,0,
16209190,0.0901718,-0.615286,-0.623849,0,5773.43,0,24.2,0,0,0,
16209223,0.0918364,-0.615821,-0.623221,0,424.726,0,1.8,0,0,0,
16209263,0.0934834,-0.616495,-0.62258,0,473.261,0,2,0,0,0,
16209304,0.0951135,-0.617335,-0.622181,0,474.89,0,2,0,0,0,
16209343,0.0967003,-0.618395,-0.622124,0,476.973,0,2,0,0,0,
16209383,0.0979912,-0.619396,-0.622252,0,479.298,0,2,0,0,0,
16209423,0.0988445,-0.620196,-0.62252,0,481.326,0,2,0,0,0,
16209464,0.0993922,-0.620788,-0.622904,0,482.87,0,2,0,0,0,
16209503,0.0997339,-0.621157,-0.623483,0,483.908,0,2,0,0,0,
16209543,0.100064,-0.621725,-0.624156,0,484.893,0,2,0,0,0,
16209583,0.100463,-0.6223,-0.624871,0,486.197,0,2,0,0,0,
16209623,0.100627,-0.622772,-0.625378,0,487.344,0,2,0,0,0,
16209663,0.100501,-0.623197,-0.625594,0,488.314,0,2,0,0,0,
16209703,0.100194,-0.623617,-0.625628,0,489.271,0,2,0,0,0,
16209743,0.0999836,-0.623827,-0.625629,0,489.995,0,2,0,0,0,
16209784,0.100014,-0.62391,-0.625711,0,490.309,0,2,0,0,0,
16209823,0.100187,-0.624109,-0.625838,0,490.574,0,2,0,0,0,
16209863,0.100439,-0.624476,-0.626,0,491.172,0,2,0,0,0,
16209903,0.100501,-0.625055,-0.625928,0,492.157,0,2,0,0,0,
16209943,0.10036,-0.625709,-0.625554,0,493.54,0,2,0,0,0,
16209983,0.100207,-0.626372,-0.625046,0,495.024,0,2,0,0,0,
16210023,0.100155,-0.627055,-0.624438,0,496.458,0,2,0,0,0,
16210063,0.100033,-0.627818,-0.623686,0,498.056,0,2,0,0,0,
16210104,0.0998442,-0.628682,-0.622822,0,499.839,0,2,0,0,0,
16210143,0.0996684,-0.629471,-0.621943,0,501.703,0,2,0,0,0,
16210183,0.0996893,-0.630125,-0.621079,0,503.314,0,2,0,0,0,
16210223,0.0997602,-0.630714,-0.620162,0,504.663,0,2,0,0,0,
16210263,0.0999394,-0.631122,-0.619348,0,505.806,0,2,0,0,0,
16210303,0.100196,-0.631415,-0.618559,0,506.568,0,2,0,0,0,
16210344,0.100504,-0.631671,-0.617792,0,507.175,0,2,0,0,0,
16210383,0.100771,-0.63171,-0.617129,0,507.541,0,2,0,0,0,
16210425,0.10095,-0.631713,-0.616479,0,507.534,0,2,0,0,0,
16210463,0.101141,-0.631878,-0.615896,0,507.676,0,2,0,0,0,
16210503,0.101205,-0.632294,-0.615269,0,508.313,0,2,0,0,0,
16210545,0.101061,-0.633013,-0.614498,0,509.501,0,2,0,0,0,
16210584,0.000110654,-0.150459,-0.599193,0,51.0428,0,2,0,0,0,
16210623,0.000442878,-0.150728,-0.598512,0,0,0,2,0,0,0,
16210663,0.000759142,-0.150949,-0.597848,0,0,0,2,0,0,0,
16210703,0.0010434,-0.151265,-0.597088,0,0,0,2,0,0,0,
16210743,0.00139096,-0.151581,-0.59636,0,0,0,2,0,0,0,
16210783,0.00180206,-0.151675,-0.595759,0,0,0,2,0,0,0,
16210823,0.00232429,-0.151563,-0.595268,0,0,0,2,0,0,0,
16210863,0.00278327,-0.151514,-0.594809,0,0,0,2,0,0,0,
16210903,0.00308372,-0.151529,-0.594414,0,0,0,2,0,0,0,
16210943,0.00302029,-0.151529,-0.594256,0,0,0,2,0,0,0,
16210984,0.00287761,-0.151609,-0.594303,0,0,0,2,0,0,0,
16211024,0.00259137,-0.15256,-0.594874,0,0,0,2,0,0,0,
16211064,0.00163526,-0.155506,-0.594272,0,0,0,2,0,0,0,
16211104,-0.000639275,-0.159167,-0.59327,0,0,0,2,0,0,0,
16211143,-0.00363974,-0.167383,-0.59274,0,0,0,2,0,0,0,
16211183,-0.00669661,-0.180634,-0.590232,0,0,0,2,0,0,0,
16211224,-0.014484,-0.196054,-0.584611,2.08227,-0.0882717,0.847382,2,0,0,0,
16211264,-0.0246103,-0.2151,-0.579389,8.03144,-1.61874,3.79035,2,0,0,0,
16211304,-0.0354008,-0.239056,-0.57103,1.67899,-0.618347,0.907054,2,0,0,0,
16211344,-0.0507872,-0.265797,-0.559406,7.74555,9.55345,6.22056,2,0,0,0,
16211385,-0.0685253,-0.294779,-0.548421,28.462,33.1209,29.4624,2,0,0,0,
16211423,-0.0867561,-0.3275,-0.53361,33.5407,33.7662,48.0251,2,0,0,0,
16211464,-0.108746,-0.361571,-0.516121,18.945,13.8858,38.1112,2,0,0,0,
16211504,-0.131906,-0.395134,-0.499416,1.67915,0.718783,4.44889,2,0,0,0,
16211544,-0.154306,-0.429376,-0.479834,0,22.7168,0,2,0,0,0,
16211584,-0.177317,-0.461551,-0.460238,0,94.7319,0,2,0,0,0,
16211624,-0.198776,-0.491471,-0.441506,0,162.947,0,2,0,0,0,
16211665,-0.216723,-0.52031,-0.421086,0,227.934,0,2,0,0,0,
16211703,-0.231814,-0.545124,-0.403155,0,288.157,0,2,0,0,0,
16211743,-0.24355,-0.566221,-0.388421,0,338.48,0,2,0,0,0,
16211784,-0.250886,-0.584493,-0.376517,0,382.292,0,2,0,0,0,
16211824,-0.254789,-0.598419,-0.36902,0,418.667,0,2,0,0,0,
16211864,-0.254752,-0.605691,-0.367264,0,442.483,0,2,0,0,0,
16211904,-0.249885,-0.608882,-0.369503,0,454.137,0,2,0,0,0,
16211943,-0.241716,-0.609014,-0.374993,0,458.248,0,2,0,0,0,
16211984,-0.231283,-0.604209,-0.384391,0,453.492,0,2,0,0,0,
16212024,-0.219116,-0.596705,-0.395925,0,440.307,0,2,0,0,0,
16212063,-0.205018,-0.586695,-0.409708,0,420.98,0,2,0,0,0,
16212106,-0.189015,-0.575897,-0.425885,0,397.583,0,2,0,0,0,
16218753,-0.170811,-0.566634,-0.444348,28.5939,18327.2,-98.0141,332.402,0,0,0,
16218809,-0.232846,0.117503,-0.556216,0,0,0,2.8,0,0,0,
16218836,-0.243533,0.104685,-0.553438,0,0,0,1.4,0,0,0,
16218852,-0.251825,0.0959503,-0.551622,0,0,0,0.8,0,0,0,
16218893,-0.260341,0.0880288,-0.549531,0,0,0,2,0,0,0,
16218931,-0.268141,0.0813742,-0.548079,0,0,0,2,0,0,0,
16218971,-0.275576,0.0749134,-0.546763,0,0,0,2,0,0,0,
16219012,-0.282387,0.0675348,-0.544425,0,0,0,2,0,0,0,
16219051,-0.287678,0.0591601,-0.540813,0,0,0,2,0,0,0,
16219092,-0.291251,0.0486797,-0.535285,0,0,0,2,0,0,0,
16219133,-0.294069,0.0362172,-0.527325,0,0,0,2,0,1,0,
16219171,-0.297277,0.0207795,-0.516155,0,0,0,2,0,1,0,
16219211,-0.301361,0.00418819,-0.503347,0,0,0,2,0,1,0,
16219252,-0.306178,-0.0132619,-0.489418,0,0,0,2,0,1,0,
16219292,-0.311165,-0.030052,-0.475702,0,0,0,2,0,1,0,
16219332,-0.315984,-0.0453311,-0.462833,0,0,0,2,0,1,0,
16219372,-0.31976,-0.0579333,-0.451668,0,0,0,2,0,1,0,
16219412,-0.32281,-0.067329,-0.44296,0,0,0,2,0,1,0,
16219451,-0.32515,-0.0734589,-0.437298,0,0,0,2,0,1,0,
16219492,-0.327153,-0.0773007,-0.434081,0,0,0,2,0,1,0,
16219531,-0.329327,-0.079683,-0.432852,0,0,0,2,0,1,0,
16219571,-0.330244,-0.0805999,-0.432341,0,0,0,2,0,1,0,
16219612,-0.330782,-0.0810938,-0.431841,0,0,0,2,0,1,0,
16219652,-0.331786,-0.0816723,-0.431256,0,0,0,2,0,1,0,
16219691,-0.332372,-0.0807308,-0.432135,0,0,0,2,0,1,0,
16219731,-0.332721,-0.0797945,-0.433072,0,0,0,2,0,1,0,
16219772,-0.33289,-0.0784582,-0.434402,0,0,0,2,0,1,0,
16219813,-0.332848,-0.0761546,-0.436706,0,0,0,2,0,1,0,
16219852,-0.332558,-0.0730061,-0.439854,0,0,0,2,0,1,0,
16219892,-0.332216,-0.0695561,-0.443273,0,0,0,2,0,1,0,
16219931,-0.332059,-0.0662153,-0.446614,0,0,0,2,0,1,0,
16219972,-0.331871,-0.0628026,-0.450026,0,0,0,2,0,1,0,
16220012,-0.331924,-0.0597306,-0.452911,0,0,0,2,0,1,0,
16220052,-0.332308,-0.0568074,-0.455398,0,0,0,2,0,1,0,
16220091,-0.332409,-0.0533129,-0.457925,0,0,0,2,0,1,0,
16220133,-0.332327,-0.0490267,-0.461025,0,0,0,2,0,1,0,
16220171,-0.332046,-0.0439289,-0.464498,0,0,0,2,0,1,0,
16220211,-0.331749,-0.0380907,-0.468271,0,0,0,2,0,1,0,
16220252,-0.331274,-0.0316029,-0.472477,0,0,0,2,0,1,0,
16220292,-0.329914,-0.0238774,-0.477313,0,0,0,2,0,1,0,
16220332,-0.327948,-0.0159548,-0.482057,0,0,0,2,0,1,0,
16220372,-0.325699,-0.00848694,-0.486245,0,0,0,2,0,1,0,
16220412,-0.322903,-0.00117868,-0.48979,0,0,0,2,0,1,0,
16220453,-0.31967,0.00489944,-0.491688,0,0,0,2,0,1,0,
16220492,-0.316205,0.00919715,-0.491851,0,0,0,2,0,1,0,
16220532,-0.312581,0.0129727,-0.49117,0,0,0,2,0,1,0,
16220572,-0.309396,0.0164848,-0.490676,0,0,0,2,0,1,0,
16220612,-0.306887,0.019396,-0.490427,0,0,0,2,0,1,0,
16220652,-0.305013,0.0218226,-0.49031,0,0,0,2,0,1,0,
16220691,-0.303539,0.0236987,-0.49053,0,0,0,2,0,1,0,
16220731,-0.30245,0.0250784,-0.491069,0,0,0,2,0,1,0,
16220773,-0.301987,0.0259431,-0.491564,0,0,0,2,0,1,0,
16220811,-0.301824,0.0267215,-0.49169,0,0,0,2,0,1,0,
16220852,-0.301918,0.0275808,-0.491597,0,0,0,2,0,1,0,
16220892,-0.302175,0.0284302,-0.491195,0,0,0,2,0,1,0,
16220932,-0.30248,0.0288739,-0.490239,0,0,0,2,0,1,0,
16220972,-0.302947,0.0293064,-0.489373,0,0,0,2,0,1,0,
16221012,-0.303508,0.0298671,-0.488813,0,0,0,2,0,1,0,
16221052,-0.303787,0.0301112,-0.488534,0,0,0,2,0,1,0,
16221092,-0.303799,0.0301236,-0.488521,0,0,0,2,0,1,0,
16221132,-0.303735,0.030188,-0.488457,0,0,0,2,0,1,0,
16221172,-0.303622,0.0303006,-0.488344,0,0,0,2,0,1,0,
16221212,-0.303445,0.0304777,-0.488167,0,0,0,2,0,1,0,
16221251,-0.30322,0.030703,-0.487942,0,0,0,2,0,1,0,
16221291,-0.303059,0.030864,-0.487781,0,0,0,2,0,1,0,
16221331,-0.302962,0.0309606,-0.487684,0,0,0,2,0,1,0,
16221371,-0.302881,0.0310412,-0.487604,0,0,0,2,0,1,0,
16221411,-0.302833,0.0310895,-0.487555,0,0,0,2,0,1,0,
16221451,-0.302559,0.0313634,-0.487282,0,0,0,2,0,1,0,
16221491,-0.302201,0.0317465,-0.486898,0,0,0,2,0,1,0,
16222220,-0.301749,0.0321981,-0.486447,0,0,0,36.4001,0,1,0,
16222232,-0.276577,-0.0196945,-0.433758,0,0,0,0.6,0,1,0,
16222264,-0.276211,-0.0251643,-0.428547,0,0,0,1.6,0,1,0,
16222303,-0.275953,-0.0301034,-0.423962,0,0,0,2,0,1,0,
16222344,-0.275876,-0.0343843,-0.419939,0,0,0,2,0,1,0,
16222383,-0.276038,-0.038225,-0.416695,0,0,0,2,0,1,0,
16222424,-0.276774,-0.0418777,-0.41419,0,0,0,2,0,1,0,
16222463,-0.278522,-0.0457825,-0.412209,0,0,0,2,0,1,0,
16222503,-0.280584,-0.0494502,-0.411205,0,0,0,2,0,1,0,
16222543,-0.282941,-0.0526305,-0.411103,0,0,0,2,0,1,0,
16222584,-0.285722,-0.0558837,-0.411299,0,0,0,2,0,1,0,
16222623,-0.288731,-0.0597395,-0.411516,0,0,0,2,0,1,0,
16222663,-0.292209,-0.0642575,-0.41138,0,0,0,2,0,1,0,
16222703,-0.296459,-0.0696379,-0.410478,0,0,0,2,0,1,0,
16222744,-0.301746,-0.0759533,-0.408665,0,0,0,2,0,1,0,
16222783,-0.305724,-0.0805308,-0.40766,0,0,0,2,0,1,0,
16222823,-0.307285,-0.0826674,-0.407457,0,0,0,2,0,1,0,
16222863,-0.307826,-0.0836335,-0.407106,0,0,0,2,0,1,0,
16222903,-0.308048,-0.084473,-0.406917,0,0,0,2,0,1,0,
16222943,-0.30728,-0.0851679,-0.407651,0,0,0,2,0,1,0,
16222984,-0.306408,-0.0860453,-0.408526,0,0,0,2,0,1,0,
16223023,-0.305083,-0.0873703,-0.410022,0,0,0,2,0,1,0,
16223063,-0.303016,-0.0880976,-0.41213,0,0,0,2,0,1,0,
16223103,-0.301114,-0.0886754,-0.414456,0,0,0,2,0,1,0,
16223143,-0.300278,-0.0882261,-0.416708,0,0,0,2,0,1,0,
16223183,-0.299521,-0.0859165,-0.418946,0,0,0,2,0,1,0,
16223223,-0.299741,-0.0820551,-0.420872,0,0,0,2,0,1,0,
16223265,-0.300371,-0.0782584,-0.42245,0,0,0,2,0,1,0,
16223303,-0.301695,-0.0748433,-0.423968,0,0,0,2,0,1,0,
16223343,-0.303469,-0.0712898,-0.425487,0,0,0,2,0,1,0,
16223383,-0.305439,-0.0671569,-0.426616,0,0,0,2,0,1,0,
16223423,-0.307458,-0.0621456,-0.426742,0,0,0,2,0,1,0,
16223463,-0.309326,-0.0565939,-0.425534,0,0,0,2,0,1,0,
16223504,-0.311415,-0.0504019,-0.422916,0,0,0,2,0,1,0,
16223544,-0.313597,-0.0441558,-0.418752,0,0,0,2,0,1,0,
16223586,-0.316188,-0.038161,-0.413338,0,0,0,2,0,1,0,
16223623,-0.318366,-0.0328559,-0.407607,0,0,0,2,0,1,0,
16223664,-0.320591,-0.0268262,-0.400652,0,0,0,2,0,1,0,
16223704,-0.322798,-0.0200335,-0.392936,0,0,0,2,0,1,0,
16223744,-0.325015,-0.0126777,-0.385112,0,0,0,2,0,1,0,
16223783,-0.327035,-0.0054007,-0.377749,0,0,0,2,0,1,0,
16223823,-0.328893,0.00138263,-0.37095,0,0,0,2,0,1,0,
16223864,-0.331114,0.0068115,-0.364376,0,0,0,2,0,1,0,
