milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics
12970572,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970613,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970652,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970693,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970733,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970774,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970814,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970854,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970893,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970932,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12970973,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971013,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971054,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971093,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971133,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971173,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971212,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971252,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971293,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971333,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971373,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971413,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971453,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971492,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971532,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971572,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971612,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971653,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971693,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971733,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971774,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971812,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971852,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971892,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971933,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12971973,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12972013,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12972053,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12972093,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12972132,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12972172,0.00136074,-0.149904,-0.598133,0,0,0,2,0,0,0,
12972212,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972253,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972293,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972333,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972373,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972413,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972452,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972492,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972532,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972573,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972613,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972653,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972693,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972733,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972772,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972812,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972852,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972894,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972933,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12972973,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973013,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973053,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973092,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973132,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973172,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973214,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973254,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973294,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973333,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973373,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973413,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973453,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973492,0.00137656,-0.149888,-0.598117,0,0,0,2,0,0,0,
12973534,0.00136072,-0.149967,-0.59807,0,0,0,2,0,0,0,
12973573,0.0013845,-0.153986,-0.594146,0,0,0,2,0,0,0,
12973614,0.00233549,-0.163317,-0.585067,0,0,0,2,0,0,0,
12973654,0.00211179,-0.170589,-0.579094,0,0,0,2,0,0,0,
12973693,0.00109724,-0.176242,-0.573219,0,0,0,2,0,0,0,
12973733,0.00432469,-0.183047,-0.564794,0,0,0,2,0,0,0,
12973772,0.00790225,-0.18462,-0.559721,0,0,0,2,0,0,0,
12973813,0.0110525,-0.186537,-0.557861,0,0,0,2,0,0,0,
12973853,0.0167003,-0.19116,-0.558329,0,0,0,2,0,0,0,
12973893,0.0198537,-0.196912,-0.557179,0,0,0,2,0,0,0,
12973933,0.0179364,-0.204887,-0.55387,0,0,0,2,0,0,0,
12973973,0.0121032,-0.215908,-0.551562,0,0,0,2,0,0,0,
12974013,0.0052263,-0.232416,-0.554136,0,0,0,2,0,0,0,
12974052,-0.000598043,-0.253904,-0.562016,-3.7454,6.66058,3.89271,2,0,0,0,
12974092,-0.0055687,-0.27491,-0.572563,-24.1745,33.6276,18.6159,2,0,0,0,
12974134,-0.00798554,-0.293167,-0.585516,-40.8231,43.0587,20.5887,2,0,0,0,
12974174,-0.00786314,-0.307903,-0.599926,-43.7969,35.8863,13.2518,2,0,0,0,
12974213,-0.00506776,-0.316781,-0.611064,-23.1956,29.4315,15.2804,2,0,0,0,
12974254,-0.00126524,-0.323076,-0.619344,8.74132,34.2301,33.3649,2,0,0,0,
12974294,0.00483982,-0.331069,-0.628063,8.49095,27.5347,32.1995,2,0,0,0,
12974333,0.0108541,-0.338458,-0.633598,1.99784,13.7793,18.4074,2,0,0,0,
12974373,0.0154311,-0.346029,-0.638754,0.699874,15.9826,23.261,2,0,0,0,
12974412,0.0191937,-0.354486,-0.645236,-0.475974,37.7683,54.9828,2,0,0,0,
12974454,0.0221007,-0.361042,-0.648291,-6.06163,47.0776,72.8138,2,0,0,0,
12974494,0.0246469,-0.36597,-0.648183,-8.53957,26.8124,51.2688,2,0,0,0,
12974533,0.0252813,-0.367697,-0.647632,-3.26269,5.9329,14.714,2,0,0,0,
12974573,0.0297068,-0.371884,-0.650001,-4.05078,4.11182,14.384,2,0,0,0,
12974613,0.0369955,-0.378498,-0.653242,-14.1786,6.57649,45.4737,2,0,0,0,
12974653,0.0446522,-0.383984,-0.654813,-15.0982,-0.895679,45.1914,2,0,0,0,
12974692,0.0524239,-0.387283,-0.654588,-2.557,-0.811187,7.76777,2,0,0,0,
12974732,0.0596118,-0.390233,-0.653785,0,0,0,2,0,0,0,
12974773,0.0656495,-0.393109,-0.651722,0,0,0,2,0,0,0,
12974814,0.0699437,-0.395282,-0.650619,0,0,0,2,0,0,0,
12974853,0.071792,-0.398146,-0.650432,0,0,0,2,0,0,0,
12974894,0.0707872,-0.4025,-0.649981,0,1.13211,0,2,0,0,0,
12974934,0.0661829,-0.408406,-0.648339,0,11.0389,0,2,0,0,0,
12974973,0.0582502,-0.416383,-0.645371,0,25.7018,0,2,0,0,0,
12975012,0.0460072,-0.42647,-0.642936,0,45.5878,0,2,0,0,0,
12975052,0.0296088,-0.437317,-0.642878,0,68.8401,0,2,0,0,0,
12975094,0.0103206,-0.448315,-0.643248,0,93.1115,0,2,0,0,0,
12975133,-0.0103978,-0.458957,-0.643954,0,116.791,0,2,0,0,0,
12975173,-0.0306833,-0.469293,-0.645749,0,140.013,0,2,0,0,0,
12975213,-0.0494321,-0.477876,-0.648627,1.82309,159.96,-0.397686,2,0,0,0,
12975252,-0.0651795,-0.484988,-0.651293,17.5965,164.625,-4.66959,2,0,0,0,
12975293,-0.0784533,-0.491363,-0.653694,27.8768,166.656,-9.36539,2,0,0,0,
12975333,-0.0887473,-0.497123,-0.655465,30.1155,172.524,-12.7354,2,0,0,0,
12975372,-0.097124,-0.503356,-0.657452,26.3265,184.834,-13.6975,2,0,0,0,
12975414,-0.104061,-0.510071,-0.659067,18.991,204.819,-11.9449,2,0,0,0,
12975454,-0.110095,-0.517349,-0.660445,10.6809,230.517,-7.9015,2,0,0,0,
12975493,-0.114512,-0.525063,-0.661775,2.57888,260.765,-2.16451,2,0,0,0,
12975533,-0.117192,-0.532659,-0.66312,0,282.719,0,2,0,0,0,
12975572,-0.118318,-0.5397,-0.665021,0,299.052,0,2,0,0,0,
12975613,-0.117034,-0.545238,-0.66734,0,313.307,0,2,0,0,0,
12975652,-0.113117,-0.548606,-0.66985,0,323.071,0,2,0,0,0,
12975692,-0.104279,-0.547737,-0.671267,0,327.392,0,2,0,0,0,
12975734,-0.08966,-0.539981,-0.6696,0,318.447,0,2,0,0,0,
12975773,-0.072149,-0.525082,-0.666429,0,294.45,0,2,0,0,0,
12975814,-0.0533643,-0.503184,-0.660991,0,254.881,0,2,0,0,0,
12975854,-0.0385197,-0.478527,-0.655256,0,202.461,0,2,0,0,0,
12975893,-0.0295167,-0.453911,-0.651216,0,148.311,0,2,0,0,0,
12975933,-0.0231769,-0.43481,-0.647138,0,98.4505,0,2,0,0,0,
12975972,-0.0193306,-0.419873,-0.644275,1.28638,61.1404,-0.814346,2,0,0,0,
12976013,-0.0166928,-0.404711,-0.640654,6.29514,27.107,-3.96065,2,0,0,0,
12976053,-0.0139054,-0.389495,-0.637249,10.4444,0.543063,-6.51085,2,0,0,0,
12976094,-0.0103653,-0.373466,-0.633577,10.6953,-0.629736,-6.58373,2,0,0,0,
12976133,-0.0061501,-0.358423,-0.630597,6.73712,0.210342,-4.07941,2,0,0,0,
12976173,-0.00152421,-0.345633,-0.628215,0.613905,0.0553973,-0.367839,2,0,0,0,
12976212,0.00257376,-0.333661,-0.624386,0,0,0,2,0,0,0,
12976253,0.00391259,-0.322704,-0.618058,0,0,0,2,0,0,0,
12976292,0.00191394,-0.314667,-0.609999,0,0,0,2,0,0,0,
12976333,-0.00240674,-0.310943,-0.601456,0.363396,0.123287,-0.1914,2,0,0,0,
12976374,-0.00865183,-0.313497,-0.592533,12.4891,4.24116,-6.45502,2,0,0,0,
12976414,-0.0172092,-0.318952,-0.58449,33.1476,10.7548,-16.8507,2,0,0,0,
12976453,-0.0291932,-0.327055,-0.575563,56.6944,16.7665,-29.0043,2,0,0,0,
12976493,-0.0456173,-0.334169,-0.563427,87.3356,22.903,-44.1922,2,0,0,0,
12976533,-0.062585,-0.339087,-0.552165,116.415,28.2285,-58.0131,2,0,0,0,
12976573,-0.0786777,-0.340876,-0.541878,135.194,32.1638,-66.6864,2,0,0,0,
12976612,-0.0919019,-0.340397,-0.533989,139.523,35.1906,-68.2776,2,0,0,0,
12976653,-0.103554,-0.339838,-0.52756,128.702,34.6381,-63.0345,2,0,0,0,
12976693,-0.116247,-0.339692,-0.521612,111.717,31.3381,-55.3106,2,0,0,0,
12976734,-0.130987,-0.340961,-0.515833,94.9374,27.5477,-48.6168,2,0,0,0,
12976773,-0.152689,-0.344268,-0.506788,84.9077,24.6311,-45.6365,2,0,0,0,
12976814,-0.188227,-0.344665,-0.489135,94.2408,29.4453,-53.0812,2,0,0,0,
12976852,-0.237793,-0.340924,-0.467822,121.606,49.727,-73.7056,2,0,0,0,
12976893,-0.289985,-0.328856,-0.447465,136.727,91.9708,-100.828,2,0,0,0,
12976933,-0.325569,-0.308331,-0.43179,109.849,122.371,-100.261,2,0,0,0,
12976974,-0.339724,-0.288127,-0.421134,76.8071,95.0535,-71.9553,2,0,0,0,
12977013,-0.338555,-0.273856,-0.415806,32.7976,45.7632,-29.6709,2,0,0,0,
12977053,-0.334112,-0.264005,-0.414655,2.07581,2.62097,-1.7939,2,0,0,0,
12977093,-0.331146,-0.257221,-0.414662,0,0,0,2,0,0,0,
12977133,-0.330731,-0.254746,-0.416209,0,0,0,2,0,0,0,
12977172,-0.333367,-0.255084,-0.418519,0,0,0,2,0,0,0,
12977213,-0.338754,-0.257755,-0.421787,0,0,0,2,0,0,0,
12977252,-0.343396,-0.263783,-0.426666,0,0,0,2,0,0,0,
12977293,-0.344472,-0.27282,-0.433804,0,0,0,2,0,0,0,
12977333,-0.341501,-0.284243,-0.443313,0,0,0,2,0,0,0,
12977373,-0.33403,-0.296287,-0.45485,0,0,0,2,0,0,0,
12977413,-0.321058,-0.308812,-0.469572,0,0,0,2,0,0,0,
12977452,-0.302111,-0.320601,-0.487136,0,0,0,2,0,0,0,
12977492,-0.276895,-0.330655,-0.506031,0,0,0,2,0,0,0,
12977532,-0.245567,-0.340753,-0.528386,0,0,0,2,0,0,0,
12977573,-0.205553,-0.350208,-0.553392,0,0,0,2,0,0,0,
12977615,-0.159326,-0.357927,-0.580448,0,0,0,2,0,0,0,
12977657,-0.110972,-0.363272,-0.60765,0,0,0,2,0,0,0,
12977693,-0.0643763,-0.363347,-0.632997,0,0,0,2,0,0,0,
12977733,-0.0237394,-0.359002,-0.653539,0,0,0,2,0,0,0,
12977772,0.0142487,-0.351091,-0.671836,0,0,0,2,0,0,0,
12977813,0.050934,-0.341523,-0.689586,0,0,0,2,0,0,0,
12977852,0.0828157,-0.329841,-0.706571,0,0,0,2,0,0,0,
12977893,0.108256,-0.31868,-0.720035,0,0,0,2,0,0,0,
12977933,0.12711,-0.309989,-0.72945,0,0,0,2,0,0,0,
12977973,0.138341,-0.30339,-0.733372,0,0,0,2,0,0,0,
12978013,0.144932,-0.300565,-0.730817,0,0,0,2,0,0,0,
12978053,0.148314,-0.301493,-0.725962,0,0,0,2,0,0,0,
12978092,0.149291,-0.304446,-0.719074,0,0,0,2,0,0,0,
12978132,0.149376,-0.306771,-0.709869,0,0,0,2,0,0,0,
12978172,0.151114,-0.309384,-0.699515,0,0,0,2,0,0,0,
12978213,0.157,-0.312303,-0.688206,0,0,0,2,0,0,0,
12978253,0.168418,-0.314199,-0.67493,0,0,0,2,0,0,0,
12978293,0.187054,-0.315123,-0.657653,0,0,0,2,0,0,0,
12978333,0.213709,-0.316527,-0.636997,0,0,0,2,0,0,0,
12978373,0.248498,-0.315804,-0.618694,0,0,0,2,0,0,0,
12978412,0.294406,-0.312148,-0.609999,0,0,0,2,0,0,0,
12978452,0.350948,-0.30671,-0.612398,0,0,0,2,0,0,0,
12978493,0.411302,-0.298868,-0.624334,-36.6601,22.2832,16.7398,2,0,0,0,
12978533,0.468253,-0.291664,-0.640134,-71.4733,88.8878,38.5424,2,0,0,0,
12978573,0.517508,-0.284759,-0.655146,-31.0541,109.148,21.8864,2,0,0,0,
12978613,0.557541,-0.27883,-0.666094,-3.39918,60.0919,5.1761,2,0,0,0,
12978654,0.587082,-0.27408,-0.672955,0.474493,17.7407,0.843611,2,0,0,0,
12978693,0.60668,-0.27055,-0.676653,-0.668666,19.1242,1.13147,2,0,0,0,
12978733,0.618297,-0.269003,-0.678925,-17.6549,51.1728,5.86602,2,0,0,0,
12978772,0.623981,-0.270757,-0.681264,-15.7497,73.7905,15.7861,2,0,0,0,
12978813,0.625536,-0.273702,-0.682986,-13.533,50.8225,18.2244,2,0,0,0,
12978853,0.623871,-0.278693,-0.684179,-43.2928,9.6493,4.897,2,0,0,0,
12978893,0.619653,-0.286112,-0.685152,-48.6247,0,0,2,0,0,0,
12978933,0.614342,-0.295135,-0.686955,-37.9948,0,0,2,0,0,0,
12978974,0.608271,-0.304386,-0.688818,-25.7209,0,0,2,0,0,0,
12979013,0.600571,-0.313477,-0.690542,-11.067,0,0,2,0,0,0,
12979053,0.589834,-0.323619,-0.692136,-0.125528,0,0,2,0,0,0,
12979092,0.572187,-0.335671,-0.692209,0,0,0,2,0,0,0,
12979132,0.546498,-0.34882,-0.690188,0,0,0,2,0,0,0,
12979173,0.513292,-0.359535,-0.685715,0,0,0,2,0,0,0,
12979213,0.475293,-0.367594,-0.681638,0,0,0,2,0,0,0,
12979253,0.434695,-0.372938,-0.67926,0,0,0,2,0,0,0,
12979293,0.39293,-0.374692,-0.679352,0,0,0,2,0,0,0,
12979333,0.352521,-0.373972,-0.680716,0.0272878,7.63297e-005,0.0158283,2,0,0,0,
12979372,0.311372,-0.372559,-0.682984,10.7054,0.452183,7.34076,2,0,0,0,
12979412,0.274201,-0.370648,-0.686069,18.6857,2.35298,15.5933,2,0,0,0,
12979452,0.238195,-0.368904,-0.690259,12.4559,2.8447,12.5326,2,0,0,0,
12979493,0.206937,-0.365898,-0.696321,1.70994,0.484008,1.94911,2,0,0,0,
12979533,0.181538,-0.362056,-0.705401,0,0,0,2,0,0,0,
12979573,0.158334,-0.358094,-0.714295,0,0,0,2,0,0,0,
12979613,0.137825,-0.352462,-0.721469,0,0,0,2,0,0,0,
12979653,0.121168,-0.345775,-0.727246,0,0,0,2,0,0,0,
12979692,0.106958,-0.338769,-0.729794,0,0,0,2,0,0,0,
12979732,0.0926431,-0.33197,-0.727388,0,0,0,2,0,0,0,
12979773,0.0732528,-0.326194,-0.717213,0,0,0,2,0,0,0,
12979813,0.0501718,-0.322509,-0.703889,0,0,0,2,0,0,0,
12979853,0.0244406,-0.320941,-0.690534,0,0,0,2,0,0,0,
12979893,-0.002551,-0.319343,-0.678632,0,0,0,2,0,0,0,
12979933,-0.0299655,-0.318205,-0.6687,0,0,0,2,0,0,0,
12979972,-0.0572823,-0.318651,-0.661112,0,0,0,2,0,0,0,
12980012,-0.0841204,-0.3207,-0.657064,0,0,0,2,0,0,0,
12980052,-0.109239,-0.324081,-0.657244,0,0,0,2,0,0,0,
12980094,-0.131408,-0.32795,-0.660775,0,0,0,2,0,0,0,
12980133,-0.150186,-0.332246,-0.666209,0,0,0,2,0,0,0,
12980173,-0.167762,-0.33638,-0.672853,0,0,0,2,0,0,0,
12980213,-0.184851,-0.340757,-0.679808,0,0,0,2,0,0,0,
12980253,-0.19999,-0.344095,-0.686264,0,0,0,2,0,0,0,
12980292,-0.212271,-0.346117,-0.692133,0,0,0,2,0,0,0,
12980332,-0.222612,-0.347364,-0.697199,0,0,0,2,0,0,0,
12980372,-0.230969,-0.34843,-0.701284,0,0,0,2,0,0,0,
12980413,-0.236765,-0.349278,-0.703958,0,0,0,2,0,0,0,
12980453,-0.241415,-0.350278,-0.705484,0,0,0,2,0,0,0,
12980493,-0.244783,-0.351205,-0.705748,0,0,0,2,0,0,0,
12980533,-0.246179,-0.351448,-0.705022,0,0,0,2,0,0,0,
12980573,-0.246446,-0.351488,-0.704313,0,0,0,2,0,0,0,
12980612,-0.245841,-0.351962,-0.702932,0,0,0,2,0,0,0,
12980652,-0.244882,-0.352327,-0.701141,0,0,0,2,0,0,0,
12980692,-0.243245,-0.352089,-0.698957,0,0,0,2,0,0,0,
12980733,-0.239584,-0.350078,-0.696798,0,0,0,2,0,0,0,
12980773,-0.232576,-0.345595,-0.693987,0,0,0,2,0,0,0,
12980813,-0.222548,-0.338003,-0.691011,0,0,0,2,0,0,0,
12980853,-0.208322,-0.326571,-0.687055,0,0,0,2,0,0,0,
12980893,-0.191035,-0.311214,-0.682187,0,0,0,2,0,0,0,
12980932,-0.171006,-0.292483,-0.676228,0,0,0,2,0,0,0,
12980972,-0.149746,-0.272118,-0.669723,0,0,0,2,0,0,0,
12981012,-0.127195,-0.251746,-0.664934,0,0,0,2,0,0,0,
12981053,-0.103142,-0.232202,-0.660738,0,0,0,2,0,0,0,
12981094,-0.0780774,-0.214387,-0.659982,0,0,0,2,0,0,0,
12981134,-0.0565334,-0.199126,-0.661602,0,0,0,2,0,0,0,
