milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
222574024,0,0,0,0,0,0,0,0,0,0,0,
222574074,0,0,0,0,0,0,0,0,0,0,0,
222574134,0,0,0,0,0,0,0,0,0,0,0,
222574194,0,0,0,0,0,0,0,0,0,0,0,
222574274,0,0,0,0,0,0,0,0,0,0,0,
222574314,0,0,0,0,0,0,0,0,0,0,0,
222574374,0,0,0,0,0,0,0,0,0,0,0,
222574434,0,0,0,0,0,0,0,0,0,0,0,
222574494,0,0,0,0,0,0,0,0,0,0,0,
222574554,0,0,0,0,0,0,0,0,0,0,0,
222574614,0,0,0,0,0,0,0,0,0,0,0,
222574675,0,0,0,0,0,0,0,0,0,0,0,
222574735,0,0,0,0,0,0,0,0,0,0,0,
222574795,0,0,0,0,0,0,0,0,0,0,0,
222574855,0,0,0,0,0,0,0,0,0,0,0,
222574915,0,0,0,0,0,0,0,0,0,0,0,
222574975,0,0,0,0,0,0,0,0,0,0,0,
222575035,0,0,0,0,0,0,0,0,0,0,0,
222575095,0,0,0,0,0,0,0,0,0,0,0,
222575155,0,0,0,0,0,0,0,0,0,0,0,
222575215,0,0,0,0,0,0,0,0,0,0,0,
222575275,0,0,0,0,0,0,0,0,0,0,1,
222575335,0,0,0,0,0,0,0,0,0,0,1,
222575396,0,0,0,0,0,0,0,0,0,0,1,
222575456,0,0,0,0,0,0,0,0,0,0,1,
222575516,0,0,0,0,0,0,0,0,0,0,1,
222575576,0,0,0,0,0,0,0,0,0,0,1,
222575636,0,0,0,0,0,0,0,0,0,0,1,
222575696,0,0,0,0,0,0,0,0,0,0,1,
222575756,0,0,0,0,0,0,0,0,0,0,1,
222575816,0,0,0,0,0,0,0,0,0,0,1,
222575876,0,0,0,0,0,0,0,0,0,0,1,
222575936,0,0,0,0,0,0,0,0,0,0,1,
222575996,0,0,0,0,0,0,0,0,0,0,2,
222576057,0,0,0,0,0,0,0,0,0,0,2,
222576117,0,0,0,0,0,0,0,0,0,0,2,
222576177,0,0,0,0,0,0,0,0,0,0,2,
222576237,0,0,0,0,0,0,0,0,0,0,2,
222576297,0,0,0,0,0,0,0,0,0,0,2,
222576357,0,0,0,0,0,0,0,0,0,0,2,
222576417,0,0,0,0,0,0,0,0,0,0,2,
222576457,0,0,0,0,0,0,0,0,0,0,2,
