milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
1441953,0,0,0,0,0,0,4.4,0,0,0,0,
1441960,-0.00329383,-0.161179,-0.596833,0,0,0,0.4,0,0,0,0,
1441995,-0.00343356,-0.159035,-0.596377,0,0,0,1.8,0,0,0,0,
1442035,-0.00355475,-0.15523,-0.595023,0,0,0,2,0,0,0,0,
1442075,-0.00336966,-0.150814,-0.593754,0,0,0,2,0,0,0,0,
1442116,-0.00341239,-0.145194,-0.591652,0,0,0,2,0,0,0,0,
1442156,-0.00368146,-0.13951,-0.589195,0,0,0,2,0,0,0,0,
1442195,-0.00361608,-0.134608,-0.587227,0,0,0,2,0,0,0,0,
1442241,-0.003901,-0.129639,-0.584651,0,0,0,2.2,0,0,0,0,
1442275,-0.00431867,-0.126183,-0.582768,0,0,0,1.8,0,0,0,0,
1442315,-0.00494043,-0.123499,-0.580744,0,0,0,2,0,0,0,0,
1442355,-0.00576152,-0.121976,-0.579252,0,0,0,2,0,0,0,0,
1442395,-0.00613914,-0.121183,-0.57846,0,0,0,2,0,0,0,0,
1442436,-0.0062007,-0.121122,-0.578398,0,0,0,2,0,0,0,0,
1442476,-0.00630553,-0.120857,-0.578134,0,0,0,2,0,0,0,0,
1442515,-0.00632096,-0.120842,-0.578118,0,0,0,2,0,0,0,0,
1442555,-0.00650497,-0.120626,-0.577902,0,0,0,2,0,0,0,0,
1442595,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
1442635,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
1442675,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
1442715,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
1442756,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
1442796,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
1442835,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
1442875,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
1442915,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
1442955,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
1442995,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
1443035,-0.00650438,-0.120595,-0.577871,0,0,0,2,0,0,0,0,
