milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
9835872,0,0,0,0,0,0,0.4,0,0,0,0,
9835922,-0.00218883,-0.168042,-0.60264,0,0,0,0.4,0,0,0,0,
9835963,-0.0027238,-0.158177,-0.602359,0,0,0,0.4,0,0,0,0,
9836023,-0.00254064,-0.141388,-0.600229,0,0,0,0.4,0,0,0,0,
9836083,-0.00378806,-0.124994,-0.600387,0,0,0,0.4,0,0,0,0,
9836153,-0.00470809,-0.106356,-0.597932,0,0,0,0.4,0,0,0,0,
9836203,-0.00555214,-0.0902502,-0.595771,0,0,0,0.4,0,0,0,0,
9836263,-0.00709514,-0.0761095,-0.591438,0,0,0,0.4,0,0,0,0,
9836323,-0.00852984,-0.0669353,-0.587318,0,0,0,0.4,0,0,0,0,
9836383,-0.00970538,-0.0618922,-0.584443,0,0,0,0.4,0,0,0,0,
9836443,-0.00999251,-0.0603397,-0.58356,0,0,0,0.4,0,0,0,9,
9836503,-0.0100472,-0.0602464,-0.583562,0,0,0,0.4,0,0,0,9,
9836563,-0.0101667,-0.0599942,-0.583443,0,0,0,0.4,0,0,0,9,
9836623,-0.0101808,-0.0599702,-0.583457,0,0,0,0.4,0,0,0,9,
9836684,-0.0102347,-0.0598783,-0.583431,0,0,0,0.4,0,0,0,9,
9836744,-0.010248,-0.0598557,-0.583418,0,0,0,0.4,0,0,0,9,
9836804,-0.010248,-0.0598557,-0.583418,0,0,0,0.4,0,0,0,9,
9836864,-0.010248,-0.0598557,-0.583418,0,0,0,0.4,0,0,0,9,
9836924,-0.010248,-0.0598557,-0.583418,0,0,0,0.4,0,0,0,9,
9836984,-0.010248,-0.0598557,-0.583418,0,0,0,0.4,0,0,0,9,
9837044,-0.010248,-0.0598557,-0.583418,0,0,0,0.4,0,0,0,9,
9837104,-0.010248,-0.0598557,-0.583418,0,0,0,0.4,0,0,0,9,
9837164,-0.010248,-0.0598557,-0.583418,0,0,0,0.4,0,0,0,9,
9837224,-0.010248,-0.0598557,-0.583418,0,0,0,0.4,0,0,0,9,
9837284,-0.010248,-0.0598557,-0.583418,0,0,0,0.4,0,0,0,9,
