milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
2170585,0,0,0,7307.83,3899.06,-8103.87,7.6,0,0,0,0,
2170617,-1.49715,-0.88,1.49205,1577.22,843.04,-1744.25,1.6,0,0,0,0,
2170628,-1.49715,-0.88,1.49205,591.459,316.14,-654.093,0.6,0,0,0,0,
2170667,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2170707,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2170748,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2170787,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2170844,-1.49715,-0.88,1.49205,2760.14,1475.32,-3052.43,2.8,0,0,0,0,
2170867,-1.49715,-0.88,1.49205,1182.92,632.28,-1308.19,1.2,0,0,0,0,
2170916,-1.49715,-0.88,1.49205,2365.84,1264.56,-2616.37,2.4,0,0,0,0,
2170947,-1.49715,-0.88,1.49205,1577.22,843.04,-1744.25,1.6,0,0,0,0,
2170987,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171027,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171068,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171107,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171147,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171187,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171227,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171267,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171307,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171347,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171387,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171427,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171467,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171507,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171547,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171587,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171627,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171668,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171707,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171747,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171787,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171827,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171867,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171907,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171947,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2171988,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172027,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172067,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172107,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172147,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172187,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172227,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172268,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172308,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172347,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172387,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172427,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172467,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172507,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172547,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172587,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172628,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172667,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172707,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172747,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172787,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172827,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172867,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172907,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172948,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2172987,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173027,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173067,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173107,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173147,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173187,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173227,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173267,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173307,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173347,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173387,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173427,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173467,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173507,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173548,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173587,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173627,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173667,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173707,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173747,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173787,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173827,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173868,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173907,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173947,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2173987,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174027,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174067,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174107,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174147,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174188,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174227,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174267,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174307,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174347,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174387,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174427,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174467,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174508,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174547,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174587,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174627,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174667,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174707,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174747,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174787,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174828,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174867,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174907,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174947,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2174987,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2175027,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2175067,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2175107,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2175147,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2175187,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
2175227,-1.49715,-0.88,1.49205,1971.53,1053.8,-2180.31,2,0,0,0,0,
