milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
8969227,-1.5,-0.88,1.5,26789.2,14331.7,-29851.9,27.4,0,0,0,0,
8969350,-1.4709,-0.88,1.4898,5932.72,3266.78,-6743.62,6.2,0,0,0,0,
8969354,-1.4709,-0.88,1.4898,191.378,105.38,-217.536,0.2,0,0,0,0,
8969451,-1.4709,-0.88,1.4898,4593.07,2529.12,-5220.86,4.8,0,0,0,0,
8969455,-1.4709,-0.88,1.4898,191.378,105.38,-217.536,0.2,0,0,0,0,
8969493,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8969533,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8969581,-1.4709,-0.88,1.4898,2296.54,1264.56,-2610.43,2.4,0,0,0,0,
8969613,-1.4709,-0.88,1.4898,1531.02,843.04,-1740.29,1.6,0,0,0,0,
8969652,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8969692,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8969732,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8969773,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8969813,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8969853,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8969893,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8969933,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8969972,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970012,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970052,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970093,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970133,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970173,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970213,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970253,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970292,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970332,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970372,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970413,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
8970453,-1.4709,-0.88,1.4898,1913.78,1053.8,-2175.36,2,0,0,0,0,
