milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
285740685,0,0,0,17602.4,9378.81,-19560.4,18,0,0,0,0,
285740733,-1.5,-0.88,1.5,2373.36,1264.56,-2637.36,2.4,0,0,0,0,
285740736,-1.5,-0.88,1.5,197.78,105.38,-219.78,0.2,0,0,0,0,
285740775,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285740815,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285740855,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285740896,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285740961,-1.5,-0.88,1.5,3164.48,1686.08,-3516.48,3.2,0,0,0,0,
285740975,-1.5,-0.88,1.5,791.12,421.52,-879.12,0.8,0,0,0,0,
285741031,-1.5,-0.88,1.5,2768.92,1475.32,-3076.92,2.8,0,0,0,0,
285741055,-1.5,-0.88,1.5,1186.68,632.28,-1318.68,1.2,0,0,0,0,
285741095,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741135,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741175,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741216,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741256,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741295,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741335,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741375,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741415,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741455,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741495,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741536,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741576,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741615,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741655,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741695,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741735,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741775,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741815,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741856,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741896,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741935,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285741975,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742015,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742055,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742095,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742135,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742176,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742215,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742255,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742295,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742335,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742375,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742415,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742455,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742496,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742535,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742575,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742615,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742655,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742695,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742735,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742776,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742816,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742855,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742895,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742935,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285742975,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285743015,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285743055,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743096,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743136,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743175,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743215,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743255,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743295,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743335,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743375,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743416,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743456,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743495,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743535,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743575,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743615,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743655,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743695,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743736,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743776,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743815,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743855,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743895,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743935,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285743975,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744015,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744056,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744096,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744135,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744175,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744215,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744255,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744295,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744335,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744376,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744415,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744455,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285744495,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744535,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744575,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744615,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744656,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744696,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744735,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744775,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744815,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744855,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744895,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744935,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285744976,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745016,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745055,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745095,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745135,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745175,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745215,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745255,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745296,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745336,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745375,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745415,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745455,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745495,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745535,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745575,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745616,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745656,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745695,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745735,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745775,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745815,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745855,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745895,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745936,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285745976,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285746015,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,8,
285746055,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746095,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746135,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746175,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746215,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746256,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746295,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746335,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746375,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746415,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746455,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746495,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746535,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746576,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746615,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746655,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746695,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746735,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746775,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746815,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746856,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746896,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746935,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285746975,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747015,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747055,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747095,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747135,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747176,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747216,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747255,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747295,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747335,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747375,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747415,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747455,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747496,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747536,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747575,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747615,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747655,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747695,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747735,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747775,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747816,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747856,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747895,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747935,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285747975,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748015,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748055,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748095,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748136,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748175,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748215,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748255,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748295,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748335,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748375,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748415,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748456,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748495,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748535,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748575,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748615,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748655,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748695,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748736,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748776,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748815,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748855,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748895,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748935,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285748975,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749015,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749056,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749096,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749135,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749175,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749215,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749255,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749295,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749335,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749376,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749416,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749455,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749495,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749535,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749575,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749615,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749655,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749696,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749736,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749775,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749815,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749855,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749895,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749935,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285749975,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750016,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750055,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750095,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750135,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750175,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750215,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750255,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750295,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750336,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750375,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750415,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750455,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750495,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
285750535,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,9,
