milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
282685829,0,0,0,8466.48,4531.34,-9395.43,8.8,0,0,0,0,
282685860,-1.49135,-0.88,1.48747,1567.02,843.04,-1736.2,1.6,0,0,0,0,
282685871,-1.49135,-0.88,1.48747,587.631,316.14,-651.073,0.6,0,0,0,0,
282685911,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282685952,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282685991,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686031,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686088,-1.49135,-0.88,1.48747,2742.28,1475.32,-3038.34,2.8,0,0,0,0,
282686111,-1.49135,-0.88,1.48747,1175.26,632.28,-1302.15,1.2,0,0,0,0,
282686160,-1.49135,-0.88,1.48747,2350.52,1264.56,-2604.29,2.4,0,0,0,0,
282686191,-1.49135,-0.88,1.48747,1567.02,843.04,-1736.2,1.6,0,0,0,0,
282686232,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686272,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686311,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686351,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686391,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686431,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686471,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686511,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686551,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686592,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686631,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686671,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686711,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686751,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
282686791,-1.49135,-0.88,1.48747,1958.77,1053.8,-2170.25,2,0,0,0,0,
