milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
285435483,0,0,0,19382.4,10327.2,-21538.4,19.8,0,0,0,0,
285435527,-1.5,-0.88,1.5,2175.58,1159.18,2417.58,2.2,0,0,0,0,
285435531,-1.5,-0.88,1.5,197.78,105.38,-219.78,0.2,0,0,0,0,
285435569,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285435609,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285435649,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285435689,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285435753,-1.5,-0.88,1.5,3164.48,1686.08,-3516.48,3.2,0,0,0,0,
285435768,-1.5,-0.88,1.5,791.12,421.52,-879.12,0.8,0,0,0,0,
285435826,-1.5,-0.88,1.5,2768.92,1475.32,-3076.92,2.8,0,0,0,0,
285435849,-1.5,-0.88,1.5,1186.68,632.28,-1318.68,1.2,0,0,0,0,
285435889,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285435929,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285435969,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436009,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436048,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436089,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436130,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436169,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436209,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436249,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436289,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436329,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436368,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436409,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436449,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436489,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436529,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436569,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436609,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436649,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436688,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436729,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436769,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436809,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436849,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436889,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436929,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285436969,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437008,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437049,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437089,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437129,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437169,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437209,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437249,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437289,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437328,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437369,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437409,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437449,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437489,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437529,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437569,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437608,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437648,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437689,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437729,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437769,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437809,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437849,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437889,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437928,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
285437969,-1.5,-0.88,1.5,1977.8,1053.8,-2197.8,2,0,0,0,0,
