milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
282625047,0,0,0,7286.07,3899.06,-8084.32,7.6,0,0,0,0,
282625077,-1.4915,-0.88,1.48729,1567.28,843.04,-1735.87,1.6,0,0,0,0,
282625089,-1.4915,-0.88,1.48729,587.73,316.14,-650.95,0.6,0,0,0,0,
282625129,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625169,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625210,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625249,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625306,-1.4915,-0.88,1.48729,2742.74,1475.32,-3037.77,2.8,0,0,0,0,
282625329,-1.4915,-0.88,1.48729,1175.46,632.28,-1301.9,1.2,0,0,0,0,
282625379,-1.4915,-0.88,1.48729,2350.92,1264.56,-2603.8,2.4,0,0,0,0,
282625409,-1.4915,-0.88,1.48729,1567.28,843.04,-1735.87,1.6,0,0,0,0,
282625449,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625490,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625530,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625569,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625609,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625649,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625689,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625729,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625769,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625810,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625849,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625889,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625929,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282625969,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282626009,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
282626049,-1.4915,-0.88,1.48729,1959.1,1053.8,-2169.83,2,0,0,0,0,
