milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
16315434,-1.5,-0.88,1.5,15180,8114.25,-16895.3,15.6,0,0,0,0,
16315570,-1.48605,-0.88,1.49212,6620.17,3582.92,-7413.61,6.8,0,0,0,0,
16315574,-1.48605,-0.88,1.49212,194.711,105.38,-218.047,0.2,0,0,0,0,
16315664,-1.48605,-0.88,1.49212,4478.35,2423.74,-5015.09,4.6,0,0,0,0,
16315670,-1.48605,-0.88,1.49212,194.711,105.38,-218.047,0.2,0,0,0,0,
16315708,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16315748,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16315794,-1.48605,-0.88,1.49212,2141.82,1159.18,-2398.52,2.2,0,0,0,0,
16315828,-1.48605,-0.88,1.49212,1752.4,948.42,-1962.43,1.8,0,0,0,0,
16315868,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16315908,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16315948,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16315988,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316028,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316068,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316108,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316148,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316188,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316228,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316268,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316308,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316348,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316387,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316428,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316468,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316508,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316548,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316588,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316628,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316668,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316707,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316748,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316788,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316828,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316868,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316908,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316948,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16316988,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317027,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317068,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317108,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317148,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317188,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317228,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317268,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317308,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317348,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317388,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317428,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317468,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317508,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317548,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317588,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317628,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317668,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317708,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317748,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317788,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317828,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317868,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317908,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317948,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16317988,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318028,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318068,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318108,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318148,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318188,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318228,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318267,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318308,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318348,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318388,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318428,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318468,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318508,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318548,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318587,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318629,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318668,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318708,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
16318748,-1.48605,-0.88,1.49212,1947.11,1053.8,-2180.47,2,0,0,0,0,
