milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
282915307,0,0,0,7852.86,4215.2,-8765.4,8.2,0,0,0,0,
282915337,-1.4844,-0.88,1.4931,1554.78,843.04,-1746.1,1.6,0,0,0,0,
282915349,-1.4844,-0.88,1.4931,583.044,316.14,-654.786,0.6,0,0,0,0,
282915389,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282915430,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282915469,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282915509,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282915566,-1.4844,-0.88,1.4931,2720.87,1475.32,-3055.67,2.8,0,0,0,0,
282915589,-1.4844,-0.88,1.4931,1166.09,632.28,-1309.57,1.2,0,0,0,0,
282915638,-1.4844,-0.88,1.4931,2332.18,1264.56,-2619.14,2.4,0,0,0,0,
282915669,-1.4844,-0.88,1.4931,1554.78,843.04,-1746.1,1.6,0,0,0,0,
282915710,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282915750,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282915789,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282915829,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282915869,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282915909,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282915949,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282915989,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282916029,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282916070,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282916109,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282916149,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282916189,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282916229,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282916269,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282916309,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282916350,-1.4844,-0.88,1.4931,1943.48,1053.8,-2182.62,2,0,0,0,0,
282916390,0.05995,-0.88,0.81,1943.48,1053.8,-2182.62,2,0,0,0,0,
282916429,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916469,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916509,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916549,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916589,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916629,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916670,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916710,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916749,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916789,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916829,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916869,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916909,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916949,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282916990,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917030,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917069,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917109,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917149,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917189,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917229,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917269,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917310,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917349,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917389,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917429,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917469,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917509,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917549,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917589,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917630,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917669,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917709,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917749,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917789,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917829,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917869,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,0,
282917909,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282917950,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282917989,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918029,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918069,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918109,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918149,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918189,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918230,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918270,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918309,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918349,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918389,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918429,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918469,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918509,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918550,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918590,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918629,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918669,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918709,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918749,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918789,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918829,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918870,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918910,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918949,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282918989,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919029,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919069,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919109,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919149,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919190,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919229,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919269,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919309,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919349,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919389,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919429,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919469,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919510,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919549,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919589,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919629,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919669,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919709,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919749,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919789,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919830,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919869,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919909,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919949,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282919989,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282920029,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282920069,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282920110,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
282920150,0.05995,-0.88,0.81,0,1053.8,-679.8,2,0,0,0,9,
