milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
287219908,-1.5,-0.88,1.5,23276,12434.8,-25911,23.8,0,0,0,0,
287219984,-1.4834,-0.88,1.49385,3688.43,2002.22,-4150.11,3.8,0,0,0,0,
287219992,-1.4834,-0.88,1.49385,388.256,210.76,-436.854,0.4,0,0,0,0,
287220026,-1.4834,-0.88,1.49385,1747.15,948.42,-1965.84,1.8,0,0,0,0,
287220067,-1.4834,-0.88,1.49385,1941.28,1053.8,-2184.27,2,0,0,0,0,
287220106,-1.4834,-0.88,1.49385,1941.28,1053.8,-2184.27,2,0,0,0,0,
287220146,-1.4834,-0.88,1.49385,1941.28,1053.8,-2184.27,2,0,0,0,0,
287220208,-1.4834,-0.88,1.49385,2911.92,1580.7,-3276.41,3,0,0,0,0,
287220226,-1.4834,-0.88,1.49385,970.64,526.9,-1092.14,1,0,0,0,0,
287220280,-1.4834,-0.88,1.49385,2523.66,1369.94,-2839.55,2.6,0,0,0,0,
287220306,-1.4834,-0.88,1.49385,1358.9,737.66,-1528.99,1.4,0,0,0,0,
287220346,-1.4834,-0.88,1.49385,1941.28,1053.8,-2184.27,2,0,0,0,0,
287220386,-1.4834,-0.88,1.49385,1941.28,1053.8,-2184.27,2,0,0,0,0,
287220426,-1.4834,-0.88,1.49385,1941.28,1053.8,-2184.27,2,0,0,0,0,
287220466,-1.4834,-0.88,1.49385,1941.28,1053.8,-2184.27,2,0,0,0,0,
287220506,-1.4834,-0.88,1.49385,1941.28,1053.8,-2184.27,2,0,0,0,0,
287220546,0.16,-0.88,0.884962,582.384,1053.8,-1246.58,2,0,0,0,0,
287220586,0.16,-0.88,0.884962,0,1053.8,-844.717,2,0,0,0,0,
287220626,0.16,-0.88,0.884962,0,1053.8,-844.717,2,0,0,0,0,
287220666,0.15975,-0.88,0.881175,0,1053.8,-844.717,2,0,0,0,0,
287220706,-0.1608,-0.88,0.802387,0,1053.8,-776.812,2,0,0,0,0,
287220746,-0.5206,-0.88,0.764925,0,1053.8,-626.002,2,0,0,0,0,
287220786,-0.7603,-0.88,0.7575,107.03,1053.8,-569.2,2,0,0,0,0,
287220826,-0.8451,-0.88,0.765038,440.396,1053.8,-570.925,2,0,0,0,0,
287220866,-0.86,-0.88,0.776288,558.888,1053.8,-590.783,2,0,0,0,0,
287220906,-0.86,-0.88,0.776288,569.8,1053.8,-605.633,2,0,0,0,0,
287220946,-0.89015,-0.88,0.78,580.932,1053.8,-610.533,2,0,0,0,0,
287220987,-1.02535,-0.88,0.791288,734.272,1053.8,-617.149,2,0,0,0,0,
287221026,-1.2204,-0.88,0.821288,1098.66,1053.8,-660.132,2,0,0,0,0,
287221066,-1.42035,-0.88,0.847537,1529.88,1053.8,-728.582,2,0,0,0,0,
287221106,-1.4553,-0.88,0.851287,1856.39,1053.8,-768.157,2,0,0,0,0,
287221146,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221186,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221226,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221266,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221307,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221346,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221386,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221426,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221466,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221506,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221546,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221586,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221627,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221666,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287221706,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287222592,-1.4553,-0.88,0.851287,41536,23289,-17031,44.2001,0,0,0,0,
287222608,-1.4553,-0.88,0.851287,751.784,421.52,-308.253,0.8,0,0,0,0,
287222634,-1.4553,-0.88,0.851287,1315.62,737.66,-539.443,1.4,0,0,0,0,
287222674,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287222714,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
287222754,-1.4553,-0.88,0.851287,1879.46,1053.8,-770.632,2,0,0,0,0,
