milisec,RacketX,RacketY,RacketZ,forceX,forceX,forceX,ForceRatio,FriendPoint,EnemyPoint,haptics,scene
25361828,0,0,0,7078.72,3793.68,-5509.29,7.4,0,0,0,0,
25361851,-1.48825,-0.88,1.49239,1171.17,632.28,-912.631,1.2,0,0,0,0,
25361871,-1.48825,-0.88,1.49239,975.975,526.9,-760.526,1,0,0,0,0,
25361911,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25361951,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25361992,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362031,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362088,-1.48825,-0.88,1.49239,2732.73,1475.32,-2129.47,2.8,0,0,0,0,
25362111,-1.48825,-0.88,1.49239,1171.17,632.28,-912.631,1.2,0,0,0,0,
25362159,-1.48825,-0.88,1.49239,2342.34,1264.56,-1825.26,2.4,0,0,0,0,
25362192,-1.48825,-0.88,1.49239,1561.56,843.04,-1216.84,1.6,0,0,0,0,
25362231,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362272,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362312,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362351,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362391,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362431,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362471,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362511,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362551,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362592,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362631,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362671,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
25362711,-1.48825,-0.88,1.49239,1951.95,1053.8,-1521.05,2,0,0,0,0,
